Date,^BVSP,SPY,IEF,BRL=X,EURUSD=X,JPY=X,GLD,DBC
2004-04-08,22725.00,75.98861,46.46900,2.884000,1.208605,106.4000,,
2004-04-11,,,,2.881000,1.207307,105.3500,,
2004-04-12,22780.00,76.28756,46.32171,2.891000,1.193802,106.8200,,
2004-04-13,22620.00,75.21786,45.96170,2.886000,1.194700,108.6700,,
2004-04-14,22312.00,75.33744,45.92900,2.917000,1.198696,108.2100,,
2004-04-15,21739.00,75.05179,45.86350,2.908000,1.200293,107.8000,,
2004-04-16,21769.00,75.62981,46.03259,,,,,
2004-04-18,,,,2.906000,1.200696,108.3900,,
2004-04-19,21627.00,75.62981,45.91264,2.928000,1.184806,108.9600,,
2004-04-20,21078.00,74.36079,45.57995,2.928000,1.181000,109.3500,,
2004-04-21,,74.85910,45.67262,2.926000,1.192506,109.3800,,
2004-04-22,21142.00,75.90887,45.85265,2.908000,1.185003,109.1600,,
2004-04-23,21590.00,75.98193,45.66175,,,,,
2004-04-25,,,,2.909000,1.186197,108.6300,,
2004-04-26,21324.00,75.87563,45.65629,2.916000,1.192905,109.5200,,
2004-04-27,21317.00,75.94206,45.83628,2.946000,1.184301,110.0200,,
2004-04-28,20474.00,74.95876,45.53630,2.965000,1.196001,109.9300,,
2004-04-29,19865.00,74.30095,45.43267,2.930000,1.198294,110.3700,,
2004-04-30,19607.00,73.72297,45.54174,,,,,
2004-05-02,,,,2.979000,1.193602,110.1600,,
2004-05-03,19709.00,74.51360,45.52423,2.966000,1.210507,109.5500,,
2004-05-04,19988.00,74.45378,45.39293,2.953000,1.215894,108.8200,,
2004-05-05,20026.00,74.93218,45.28893,2.997000,1.207700,109.7400,,
2004-05-06,19190.00,74.28770,45.24517,3.061000,1.188001,112.3100,,
2004-05-07,18620.00,73.05856,44.68706,,,,,
2004-05-09,,,,3.141000,1.184596,113.7300,,
2004-05-10,17604.00,72.30775,44.67613,3.074000,1.188199,112.9400,,
2004-05-11,18537.00,72.91901,44.76365,3.140000,1.190505,112.9700,,
2004-05-12,18326.00,73.38409,44.69801,3.132000,1.180401,114.5900,,
2004-05-13,18402.00,73.07845,44.56124,3.088000,1.188199,114.1100,,
2004-05-14,18611.00,73.11169,44.78555,,,,,
2004-05-16,,,,3.121000,1.202501,114.4300,,
2004-05-17,18122.00,72.48711,45.07557,3.129000,1.194501,114.0900,,
2004-05-18,18556.00,72.85258,44.98796,3.133000,1.200394,112.8500,,
2004-05-19,18688.00,72.60007,44.78008,3.212000,1.195700,112.7300,,
2004-05-20,18240.00,72.83264,45.00447,3.193000,1.202805,112.3400,,
2004-05-21,18285.00,72.95886,44.90597,,,,,
2004-05-23,,,,3.177000,1.199904,113.1200,,
2004-05-24,18669.00,73.26452,44.93875,3.137000,1.210097,111.8100,,
2004-05-25,18860.00,74.31427,44.95520,3.159000,1.211094,111.8600,,
2004-05-26,19069.00,74.57337,45.17952,3.120000,1.227596,111.0700,,
2004-05-27,19734.00,74.99197,45.42575,3.088000,1.221807,109.9700,,
2004-05-28,19667.00,74.98535,45.29990,,,,,
2004-05-30,,,,3.187000,1.219899,109.5200,,
2004-05-31,19545.00,,,3.146000,1.224500,110.4200,,
2004-06-01,19546.00,74.88567,45.07425,3.132000,1.221896,109.8500,,
2004-06-02,19717.00,75.16471,44.99739,3.154000,1.222105,111.1600,,
2004-06-03,19400.00,74.47373,45.06881,3.127000,1.227506,111.2600,,
2004-06-04,19819.00,75.06505,44.88210,,,,,
2004-06-06,,,,3.110000,1.231800,109.6200,,
2004-06-07,20447.00,76.20786,44.94798,3.108000,1.226106,109.5300,,
2004-06-08,20284.00,76.31414,44.93699,3.124000,1.204297,110.3900,,
2004-06-09,19865.00,75.60323,44.80524,3.124000,1.210903,109.2700,,
2004-06-10,,75.97530,44.85462,3.138000,1.201504,110.1300,,
2004-06-11,19834.00,,,,,,,
2004-06-13,,,,3.167000,1.206200,110.9900,,
2004-06-14,19488.00,75.22453,44.63503,3.123000,1.216604,109.4100,,
2004-06-15,20047.00,75.75602,45.22799,3.137000,1.200696,110.0900,,
2004-06-16,20460.00,75.74273,45.12916,3.127000,1.203398,109.5800,,
2004-06-17,20335.00,75.62981,45.25544,3.139000,1.214506,108.7200,,
2004-06-18,20333.00,75.77250,45.16211,,,,,
2004-06-20,,,,3.132000,1.212606,108.6800,,
2004-06-21,20293.00,75.48576,45.23344,3.132000,1.212195,109.1900,,
2004-06-22,20199.00,75.86585,45.17309,3.119000,1.208605,108.2100,,
2004-06-23,20836.00,76.51939,45.23894,3.092000,1.217404,107.1900,,
2004-06-24,20708.00,76.27931,45.41463,3.109000,1.220301,107.6000,,
2004-06-25,20750.00,75.91258,45.43662,,,,,
2004-06-27,,,,3.127000,1.218695,107.9900,,
2004-06-28,20351.00,75.65244,45.10173,3.107000,1.209804,108.1900,,
2004-06-29,20801.00,75.96589,45.31581,3.085000,1.218398,108.8700,,
